,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,PKG,PKA
353,Richard Farrer,DAL,D,8,6,503,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,3,2,0,0,100.0,1997,reg,0,0
354,Carlos Llamosa,DC ,D,25,20,1817,0,0,1,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,28,23,0,4,0,0.0,1997,reg,0,0
355,Eric Quill,TB ,F,2,1,108,0,0,1,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,2,1,0,0,100.0,1997,reg,0,0
356,Scott Benedetti,COL,F,3,1,133,0,0,2,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,2,5,0,0,0,0.0,1997,reg,0,0
357,Joey Martinez,DAL,D,19,19,1503,0,0,2,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,24,5,0,4,0,100.0,1997,reg,0,0
358,Brad Wilson,LA ,D,3,3,222,0,0,2,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,1,0,1,0,50.0,1997,reg,0,0
359,Jeff Zaun,MET,D,10,6,623,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,6,1,3,0,33.33,1997,reg,0,0
360,Janusz Michallik,CLB,M,10,6,447,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,5,6,0,0,0,0.0,1997,reg,0,0
361,Chris Martinez,COL,D,8,3,330,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,4,0,0,0,33.33,1997,reg,0,0
362,Carlos Parra,MET,M,4,3,273,0,0,3,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,4,0,1,0,66.67,1997,reg,0,0
363,Brian Bates,COL,M,11,7,540,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,4,5,0,1,0,33.33,1997,reg,0,0
364,Erik Imler,DC ,M,15,9,855,0,0,3,1,0,0/0,0,0,0.0,0.0,0,0,0,0.0,11,6,1,1,0,33.33,1997,reg,0,0
365,Robin Fraser,LA ,D,24,24,2021,0,0,3,0,0,0/0,0,0,0.0,0.0,0,0,0,0.0,22,14,0,5,0,0.0,1997,reg,0,0
366,Ante Razov,LA ,F,3,0,79,0,0,3,3,0,0/0,0,0,0.0,0.0,0,0,0,0.0,1,4,1,0,0,100.0,1997,reg,0,0
367,Eric Dade,DAL,D,15,14,1306,0,0,4,2,0,0/0,0,0,0.0,0.0,0,0,0,0.0,31,8,0,1,0,50.0,1997,reg,0,0
