,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,PKG,PKA
3507,Andrew Jacobson,PHI,M,25,13,1294,0,0,18,8,0,0/0,0,0,0.0,0.0,0,0,0,0.0,29,14,0,3,0,44.44,2010,reg,0,0
3508,Branko Boskovic,DC ,M,13,8,771,0,0,20,7,0,0/0,0,0,0.0,0.0,0,0,0,0.0,7,8,2,1,0,35.0,2010,reg,0,0
3509,Dwayne De Rosario,DC ,M,33,31,2781,16,12,112,44,3,4/5,10,6,0.52,14.3,4,8,4,0.39,57,46,45,3,0,39.29,2011,reg,4,5
3510,Chris Wondolowski,SJ,F,30,30,2672,16,3,109,52,5,1/2,7,9,0.54,14.7,0,3,0,0.1,29,24,27,3,0,47.71,2011,reg,1,2
3511,Thierry Henry,NY ,F,26,26,2266,14,4,65,30,3,0/1,8,6,0.56,21.5,1,2,2,0.16,28,27,14,3,2,46.15,2011,reg,0,1
3512,Andrés Mendoza,CLB,F,29,25,2022,13,2,74,31,5,5/5,10,3,0.58,17.6,1,2,0,0.09,19,14,33,1,0,41.89,2011,reg,5,5
3513,Fredy Montero,VAN,F,30,27,2304,12,9,108,42,5,0/1,3,9,0.47,11.1,2,5,4,0.35,55,54,17,7,0,38.89,2011,reg,0,1
3514,Landon Donovan,LA ,M-F,23,21,1915,12,3,42,23,4,4/4,8,4,0.56,28.6,1,2,1,0.14,36,36,3,4,0,54.76,2011,reg,4,4
3515,Camilo Sanvezzo,VAN,F,32,29,2484,12,3,83,37,2,2/2,7,5,0.43,14.5,0,2,1,0.11,47,55,22,5,0,44.58,2011,reg,2,2
3516,Dominic Oduro,CHI,M,34,29,2633,12,2,78,39,3,0/0,6,6,0.41,15.4,0,0,2,0.07,25,52,20,5,0,50.0,2011,reg,0,0
3517,Sébastien Le Toux,PHI,F,34,34,3060,11,9,81,30,2,4/4,9,2,0.32,13.6,3,3,6,0.26,20,36,36,0,0,37.04,2011,reg,4,4
3518,Brek Shea,MIA,D,31,30,2647,11,4,74,23,5,0/0,6,5,0.37,14.9,2,1,3,0.14,25,43,12,6,1,31.08,2011,reg,0,0
3519,Alvaro Saborio,RSL,F,23,22,1928,11,2,66,24,4,3/3,7,4,0.51,16.7,0,2,0,0.09,43,38,38,3,0,36.36,2011,reg,3,3
3520,Charlie Davies,DC ,F,26,18,1553,11,1,34,18,3,4/5,5,6,0.64,32.4,0,1,0,0.06,23,22,14,3,0,52.94,2011,reg,4,5
3521,Fabian Espindola,RSL,F,27,25,2096,10,3,62,30,2,1/1,5,5,0.43,16.1,0,2,1,0.13,39,31,33,6,0,48.39,2011,reg,1,1
3522,Eric Hassli,VAN,F,26,21,1865,10,2,72,28,0,3/4,6,4,0.48,13.9,0,2,0,0.1,53,35,20,8,3,38.89,2011,reg,3,4
3523,Juan Pablo Angel,CHV,F,31,26,2314,10,1,78,32,1,0/0,5,5,0.39,12.8,0,1,0,0.04,29,13,36,2,0,41.03,2011,reg,0,0
3524,Kei Kamara,COL,F,30,24,2201,9,4,91,29,1,2/2,6,3,0.37,9.9,1,2,2,0.16,37,44,7,2,0,31.87,2011,reg,2,2
3525,Luke Rodgers,NY ,F,23,20,1560,9,3,45,20,4,1/1,7,2,0.52,20.0,0,2,1,0.17,27,26,48,6,0,44.44,2011,reg,1,1
3526,Teal Bunbury,NE,F,29,20,1744,9,3,66,22,2,0/0,5,4,0.46,13.6,0,1,2,0.15,36,17,21,2,1,33.33,2011,reg,0,0
3527,Omar Bravo,KC ,F,27,26,2150,9,2,59,25,2,2/2,7,2,0.38,15.3,1,1,1,0.08,22,24,27,4,2,42.37,2011,reg,2,2
3528,Álvaro Fernández,SEA,M,29,23,1849,9,0,42,21,3,1/2,6,3,0.44,21.4,0,0,0,0.0,16,34,6,3,0,50.0,2011,reg,1,2
3529,Nick LaBrocca,CHV,M,34,34,3058,8,6,77,25,1,0/0,4,4,0.24,10.4,0,1,5,0.18,29,38,8,4,0,32.47,2011,reg,0,0
3530,Justin Braun,CHV,F,29,22,2055,8,5,69,29,2,0/0,4,4,0.35,11.6,3,2,3,0.22,42,32,16,4,0,42.03,2011,reg,0,0
3531,Emilio Rentería,CLB,F,18,14,1159,8,2,43,17,1,2/2,5,3,0.62,18.6,1,0,2,0.16,36,33,17,0,0,39.53,2011,reg,2,2
3532,Kenny Cooper,POR,F,34,29,2562,8,2,78,30,2,0/0,4,4,0.28,10.3,0,1,1,0.07,27,56,40,2,0,38.46,2011,reg,0,0
3533,Marco Pappa,CHI,M,29,27,2324,8,2,92,39,2,0/0,2,6,0.31,8.7,0,1,1,0.08,42,35,12,2,0,42.39,2011,reg,0,0
3534,Maicon Santos,DAL,F,30,24,1974,8,2,92,25,1,0/0,4,4,0.36,8.7,0,0,2,0.09,30,29,16,0,0,27.17,2011,reg,0,0
3535,Danny Koevermans,TOR,F,10,9,756,8,1,30,17,1,0/0,4,4,0.95,26.7,0,1,0,0.12,7,4,8,0,0,56.67,2011,reg,0,0
3536,Shalrie Joseph,NE ,M,32,32,2860,8,1,52,23,3,4/5,5,3,0.25,15.4,0,1,0,0.03,37,54,6,7,1,44.23,2011,reg,4,5
3537,Jack Jewsbury,POR,M,31,31,2790,7,8,47,20,1,3/5,4,3,0.23,14.9,3,6,2,0.26,36,26,3,5,0,42.55,2011,reg,3,5
3538,Dane Richards,NY ,M,27,27,2333,7,7,51,21,2,0/0,3,4,0.27,13.7,2,5,2,0.27,46,28,13,5,1,41.18,2011,reg,0,0
3539,Joel Lindpere,NY ,M,34,34,3048,7,7,54,22,0,0/0,3,4,0.21,13.0,1,4,3,0.21,45,53,13,4,0,40.74,2011,reg,0,0
3540,Chad Barrett,LA ,F,27,20,1583,7,5,49,19,4,0/0,3,4,0.4,14.3,2,4,1,0.28,13,15,10,0,0,38.78,2011,reg,0,0
3541,Chris Pontius,DC ,M,25,25,2114,7,5,53,20,2,2/2,4,3,0.3,13.2,1,0,5,0.21,18,32,3,2,0,37.74,2011,reg,2,2
3542,Jeff Larentowicz,ATL,M,34,34,3051,7,1,37,17,1,0/1,2,5,0.21,18.9,0,1,0,0.03,45,37,0,5,0,45.95,2011,reg,0,1
3543,Marvin Chávez,DAL,M,31,30,2521,6,4,66,28,3,0/0,3,3,0.21,9.1,1,2,2,0.14,38,53,21,4,0,42.42,2011,reg,0,0
3544,Jorge Perlaza,POR,F,31,26,2152,6,2,34,12,2,0/0,6,0,0.25,17.6,0,1,1,0.08,21,25,36,2,0,35.29,2011,reg,0,0
3545,Caleb Folan,COL,F,26,16,1521,6,2,40,16,0,2/2,4,2,0.36,15.0,2,0,2,0.12,27,25,17,5,1,40.0,2011,reg,2,2
3546,Juan Agudelo,MIA,F,27,12,1364,6,2,44,17,1,0/0,5,1,0.4,13.6,1,0,2,0.13,25,22,6,1,0,38.64,2011,reg,0,0
3547,Simon Dawkins,SJ ,M,26,19,1773,6,2,64,20,1,0/0,5,1,0.3,9.4,1,1,1,0.1,15,29,4,2,0,31.25,2011,reg,0,0
3548,Conor Casey,COL,F,14,11,809,6,1,18,10,0,1/1,4,2,0.67,33.3,1,1,0,0.11,25,14,12,4,1,55.56,2011,reg,1,1
3549,Rajko Lekic,NE ,F,23,22,1851,6,1,44,17,1,2/2,3,3,0.29,13.6,0,0,1,0.05,37,39,28,3,0,38.64,2011,reg,2,2
3550,Diego Chaves,CHI,F,29,19,1699,6,1,49,14,2,1/1,3,3,0.32,12.2,1,1,0,0.05,17,43,2,5,0,28.57,2011,reg,1,1
3551,Carlos Ruiz,PHI,F,14,13,1144,6,0,35,14,3,0/0,4,2,0.47,17.1,0,0,0,0.0,15,16,15,2,0,40.0,2011,reg,0,0
3552,Mauro Rosales,SEA,M,26,22,1870,5,13,18,9,3,1/2,3,2,0.24,27.8,4,9,4,0.63,18,59,9,2,0,50.0,2011,reg,1,2
3553,Josh Wolff,DC ,F,30,23,1924,5,7,41,17,1,0/0,3,2,0.23,12.2,2,5,2,0.33,17,36,19,1,0,41.46,2011,reg,0,0
3554,Graham Zusi,SKC,M,32,25,2329,5,7,47,16,1,0/0,3,2,0.19,10.6,4,6,1,0.27,26,38,2,4,0,34.04,2011,reg,0,0
3555,Andy Najar,LAFC,D,31,28,2522,5,6,57,20,0,0/0,4,1,0.18,8.8,3,5,1,0.21,44,37,4,2,1,35.09,2011,reg,0,0
3556,Brad Evans,SEA,D-M,20,17,1509,5,5,32,9,0,3/3,2,3,0.3,15.6,4,3,2,0.3,13,9,1,2,0,28.12,2011,reg,3,3
3557,CJ Sapong,CHI,F,34,22,2096,5,5,53,25,1,0/0,3,2,0.21,9.4,2,1,4,0.21,30,44,5,0,0,47.17,2011,reg,0,0
3558,Sanna Nyassi,COL,M,26,17,1586,5,5,61,23,1,0/0,3,2,0.28,8.2,1,4,1,0.28,24,33,11,4,0,37.7,2011,reg,0,0
3559,Geoff Cameron,HOU,D,33,33,2970,5,5,63,18,1,0/0,2,3,0.15,7.9,2,3,2,0.15,29,36,11,2,0,28.57,2011,reg,0,0
3560,Sebastián Grazzini,CHI,M,11,11,780,5,4,21,9,0,1/1,3,2,0.58,23.8,0,3,1,0.46,15,20,1,1,0,42.86,2011,reg,1,1
3561,Danny Mwanga,PHI,F,28,13,1535,5,4,37,20,1,0/0,2,3,0.29,13.5,2,2,2,0.23,28,23,9,4,0,54.05,2011,reg,0,0
3562,Khari Stephenson,SJ ,M,31,27,2256,5,4,78,26,0,0/0,3,2,0.2,6.4,0,3,1,0.16,41,18,5,3,0,33.33,2011,reg,0,0
3563,Steven Lenhart,SJ ,F,14,13,1163,5,3,34,14,1,0/0,2,3,0.39,14.7,1,2,1,0.23,30,36,12,6,0,41.18,2011,reg,0,0
3564,Alejandro Moreno,CHV,F,24,22,2016,5,2,30,12,1,0/0,1,4,0.22,16.7,1,2,0,0.09,42,48,11,0,0,40.0,2011,reg,0,0
3565,Lamar Neagle,SEA,M,23,9,1008,5,2,32,12,2,0/0,3,2,0.45,15.6,1,1,1,0.18,10,14,2,1,0,37.5,2011,reg,0,0
3566,Alan Gordon,SJ ,F,10,8,739,5,1,20,10,0,0/0,2,3,0.61,25.0,0,1,0,0.12,30,14,10,4,0,50.0,2011,reg,0,0
3567,Bobby Boswell,HOU,D,28,27,2460,5,1,22,10,2,0/0,3,2,0.18,22.7,0,1,0,0.04,20,18,1,6,0,45.45,2011,reg,0,0
3568,Brian Ching,HOU,F,20,15,1242,5,1,31,14,2,0/0,4,1,0.36,16.1,1,1,0,0.07,12,25,21,0,1,45.16,2011,reg,0,0
3569,Will Bruin,SEA,F,25,21,1693,5,1,54,23,2,0/0,5,0,0.27,9.3,0,0,1,0.05,18,18,9,1,0,42.59,2011,reg,0,0
3570,Eddie Gaven,CLB,M,26,26,2227,5,1,58,24,3,0/0,4,1,0.2,8.6,0,0,1,0.04,28,65,11,0,0,41.38,2011,reg,0,0
3571,Mike Magee,LA ,M,27,20,1772,5,0,28,11,1,0/0,4,1,0.25,17.9,0,0,0,0.0,30,34,3,2,0,39.29,2011,reg,0,0
3572,Brad Davis,HOU,M,34,34,2892,4,16,49,15,0,3/3,3,1,0.12,8.2,6,13,3,0.5,38,33,2,5,0,30.61,2011,reg,3,3
3573,Benny Feilhaber,NE ,M,23,23,2046,4,7,36,11,0,0/0,1,3,0.18,11.1,0,3,4,0.31,37,71,1,3,1,30.56,2011,reg,0,0
3574,Sean Franklin,LA ,D,28,25,2338,4,3,15,7,1,0/0,1,3,0.15,26.7,2,2,1,0.12,23,12,3,2,0,46.67,2011,reg,0,0
3575,Colin Clark,HOU,M,29,17,1486,4,3,30,10,0,0/0,4,0,0.24,13.3,1,2,1,0.18,18,12,2,1,1,33.33,2011,reg,0,0
3576,Juninho,LA ,M,30,30,2556,4,2,39,13,3,0/0,2,2,0.14,10.3,0,0,2,0.07,35,43,0,4,1,33.33,2011,reg,0,0
3577,Jackson Goncalves,DAL,M,28,22,1952,4,2,54,17,1,0/0,2,2,0.18,7.4,0,1,1,0.09,39,22,9,8,1,31.48,2011,reg,0,0
3578,Drew Moor,COL,D,32,32,2880,4,1,28,9,2,0/0,2,2,0.13,14.3,0,1,0,0.03,22,35,3,8,0,32.14,2011,reg,0,0
3579,Cam Weaver,HOU,F,28,16,1611,4,1,30,11,0,0/0,3,1,0.22,13.3,0,1,0,0.06,47,29,15,3,0,36.67,2011,reg,0,0
3580,Kyle Beckerman,RSL,M,29,27,2423,3,9,33,13,1,0/0,2,1,0.11,9.1,6,9,0,0.33,36,24,1,6,1,39.39,2011,reg,0,0
3581,Omar Cummings,COL,F,26,18,1686,3,6,34,10,1,0/0,3,0,0.16,8.8,1,4,2,0.32,18,21,22,1,0,29.41,2011,reg,0,0
3582,Nick Soolsma,TOR,F,23,18,1578,3,5,27,14,1,1/1,2,1,0.17,11.1,2,3,2,0.29,12,18,1,1,0,51.85,2011,reg,1,1
3583,Joao Plata,TOR,F,26,21,1753,3,5,46,17,1,1/1,3,0,0.15,6.5,1,2,3,0.26,9,19,10,1,0,36.96,2011,reg,1,1
3584,Justin Mapp,PHI,M,29,24,1861,3,4,29,8,0,0/0,0,3,0.15,10.3,1,2,2,0.19,19,28,4,1,0,27.59,2011,reg,0,0
3585,Jamie Smith,COL,M,20,18,1519,3,4,31,14,1,0/0,2,1,0.18,9.7,1,1,3,0.24,12,21,0,0,0,45.16,2011,reg,0,0
3586,Ryan Johnson,SJ ,F,26,24,2080,3,4,46,15,0,0/0,0,3,0.13,6.5,1,2,2,0.17,29,24,15,3,0,32.61,2011,reg,0,0
3587,Wells Thompson,COL,D,31,22,1935,3,3,22,9,2,0/0,1,2,0.14,13.6,2,1,2,0.14,31,39,2,4,0,40.91,2011,reg,0,0
3588,Veljko Paunovic,PHI,F,17,16,1236,3,3,32,10,0,0/0,1,2,0.22,9.4,0,3,0,0.22,26,21,8,1,0,31.25,2011,reg,0,0
3589,Osvaldo Alonso,MIN,M,33,32,2891,3,3,54,11,1,1/1,2,1,0.09,5.6,0,3,0,0.09,50,39,0,7,0,20.37,2011,reg,1,1
3590,Roger Levesque,SEA,M,19,9,1062,3,2,13,6,1,0/0,3,0,0.25,23.1,1,2,0,0.17,16,16,11,3,0,46.15,2011,reg,0,0
3591,Roger Torres,PHI,M,25,9,931,3,2,24,6,1,0/0,3,0,0.29,12.5,2,2,0,0.19,13,17,0,1,0,25.0,2011,reg,0,0
3592,Marcos Mondaini,CHV,F,24,20,1493,3,2,28,13,1,0/0,2,1,0.18,10.7,0,2,0,0.12,17,35,6,1,1,46.43,2011,reg,0,0
3593,Milton Caraglio,NE ,F,12,12,991,3,2,46,15,0,0/0,2,1,0.27,6.5,1,1,1,0.18,22,19,13,5,0,32.61,2011,reg,0,0
3594,David Ferreira,DAL,M,6,6,505,3,1,11,5,0,0/1,2,1,0.53,27.3,0,0,1,0.18,5,19,1,0,0,45.45,2011,reg,0,1
3595,Eric Brunner,POR,D,32,31,2795,3,1,17,4,2,0/0,3,0,0.1,17.6,0,1,0,0.03,19,29,0,1,1,23.53,2011,reg,0,0
3596,George John,DAL,D,31,31,2781,3,1,18,7,0,0/0,1,2,0.1,16.7,0,0,1,0.03,25,29,0,4,1,38.89,2011,reg,0,0
3597,Nat Borchers,RSL,D,30,30,2547,3,1,19,6,2,0/0,3,0,0.11,15.8,1,1,0,0.04,14,15,5,1,2,31.58,2011,reg,0,0
3598,Cory Gibbs,CHI,D,26,26,2203,3,1,19,5,0,0/0,3,0,0.12,15.8,0,1,0,0.04,30,23,1,6,1,26.32,2011,reg,0,0
3599,Alain Rochat,VAN,D,28,27,2434,3,1,21,5,1,0/0,3,0,0.11,14.3,1,1,0,0.04,35,39,1,6,0,23.81,2011,reg,0,0
3600,Tom Heinemann,CLB,F,28,12,1315,3,1,45,15,0,0/0,2,1,0.21,6.7,0,1,0,0.07,26,23,21,4,0,33.33,2011,reg,0,0
3601,Aurelien Collin,PHI,D,23,21,1912,3,0,15,5,2,0/0,0,3,0.14,20.0,0,0,0,0.0,38,19,2,10,1,33.33,2011,reg,0,0
3602,Mamadou Danso,POR,D,24,23,1999,3,0,20,7,1,0/0,1,2,0.14,15.0,0,0,0,0.0,7,9,2,0,0,35.0,2011,reg,0,0
3603,David Beckham,LA ,M,26,25,2226,2,15,29,9,1,0/0,2,0,0.08,6.9,7,10,5,0.61,26,47,2,10,0,31.03,2011,reg,0,0
3604,Davide Chiumiento,VAN,M,26,20,1674,2,9,20,6,0,0/0,1,1,0.11,10.0,1,6,3,0.48,15,43,4,2,0,30.0,2011,reg,0,0
3605,Robbie Rogers,CLB,D,27,24,2218,2,7,36,11,1,1/1,1,1,0.08,5.6,1,4,3,0.28,27,50,7,2,0,30.56,2011,reg,1,1
3606,Paulo Jr.,RSL,F,11,5,468,2,4,11,6,0,0/0,1,1,0.38,18.2,1,3,1,0.77,6,5,5,0,0,54.55,2011,reg,0,0
3607,Ben Zemanski,CHV,M,28,23,2056,2,4,22,5,1,0/0,2,0,0.09,9.1,1,2,2,0.18,30,25,0,6,0,22.73,2011,reg,0,0
3608,Diego Chara,POR,M,28,27,2401,2,4,26,7,1,0/0,2,0,0.07,7.7,1,3,1,0.15,64,23,1,7,0,26.92,2011,reg,0,0
3609,Daniel Hernandez,DAL,M,30,30,2668,2,4,29,4,1,1/1,1,1,0.07,6.9,2,3,1,0.13,47,38,0,6,0,13.79,2011,reg,1,1
3610,Chris Tierney,NE ,D-M,27,25,2184,2,4,32,8,0,0/0,0,2,0.08,6.3,1,0,4,0.16,13,1,0,3,2,25.0,2011,reg,0,0
3611,Javier Morales,RSL,M,10,9,785,2,3,12,5,1,1/1,2,0,0.23,16.7,1,1,2,0.34,10,22,3,3,0,41.67,2011,reg,1,1
3612,Atiba Harris,VAN,D,5,5,444,2,3,12,8,1,0/0,2,0,0.41,16.7,0,3,0,0.61,13,12,7,2,0,66.67,2011,reg,0,0
3613,Julian de Guzman,TOR,M,19,16,1325,2,3,16,5,1,0/0,0,2,0.14,12.5,0,2,1,0.2,37,29,0,6,0,31.25,2011,reg,0,0
3614,Eric Avila,DAL,M,22,13,1289,2,3,19,6,1,0/0,1,1,0.14,10.5,0,3,0,0.21,11,24,0,1,0,31.58,2011,reg,0,0
3615,Michael Farfan,PHI,M,21,13,1460,2,3,23,6,1,0/0,2,0,0.12,8.7,0,2,1,0.18,22,14,0,1,0,26.09,2011,reg,0,0
3616,Danny Cruz,HOU,M-F,20,13,1152,2,3,25,8,1,0/0,1,1,0.16,8.0,2,2,1,0.23,19,19,1,5,0,32.0,2011,reg,0,0
3617,Dilly Duka,CLB,M,22,16,1399,2,3,26,8,0,0/0,0,2,0.13,7.7,2,3,0,0.19,22,18,1,2,0,30.77,2011,reg,0,0
3618,Fabian Castillo,DAL,M-F,21,16,1355,2,3,28,8,0,0/0,2,0,0.13,7.1,2,3,0,0.2,11,9,23,0,0,28.57,2011,reg,0,0
3619,Darlington Nagbe,CLB,M,28,21,1651,2,3,30,10,0,0/0,2,0,0.11,6.7,1,2,1,0.16,8,42,10,0,0,33.33,2011,reg,0,0
3620,Júlio César,KC ,D,27,25,2149,2,2,9,4,1,0/0,2,0,0.08,22.2,1,2,0,0.08,30,18,1,3,1,44.44,2011,reg,0,0
3621,Matt Besler,SKC,D,32,32,2880,2,2,10,3,1,0/0,0,2,0.06,20.0,1,1,1,0.06,23,13,0,2,0,30.0,2011,reg,0,0
3622,Ugo Ihemelu,DAL,D,31,30,2726,2,2,10,3,1,0/0,1,1,0.07,20.0,0,1,1,0.07,28,24,0,6,0,30.0,2011,reg,0,0
3623,Steve Zakuani,SEA,M,6,6,453,2,2,12,5,1,0/0,2,0,0.4,16.7,0,0,2,0.4,6,3,5,0,0,41.67,2011,reg,0,0
3624,O'Brian White,SEA,F,7,7,517,2,2,15,8,0,0/0,1,1,0.35,13.3,2,1,1,0.35,9,3,6,0,0,53.33,2011,reg,0,0
3625,Rodney Wallace,POR,D,25,22,1973,2,2,19,6,1,0/0,2,0,0.09,10.5,0,0,2,0.09,29,14,2,6,0,31.58,2011,reg,0,0
3626,Josh Gardner,CLB,M,22,21,1812,2,2,22,7,1,0/0,1,1,0.1,9.1,2,1,1,0.1,13,3,0,0,0,31.82,2011,reg,0,0
3627,Mike Fucito,SEA,F,19,13,1045,2,2,24,7,1,0/0,2,0,0.17,8.3,0,1,1,0.17,21,11,9,2,0,29.17,2011,reg,0,0
3628,Orr Barouch,CHI,F,28,2,624,2,2,28,8,0,0/0,0,2,0.29,7.1,1,1,1,0.29,19,14,5,2,0,28.57,2011,reg,0,0
3629,Ramiro Corrales,SJ ,M,29,29,2552,2,2,30,5,0,0/0,1,1,0.07,6.7,0,1,1,0.07,28,30,3,7,0,16.67,2011,reg,0,0
3630,Robbie Keane,LA ,F,4,3,275,2,1,5,3,1,0/0,2,0,0.65,40.0,1,1,0,0.33,1,1,6,0,0,60.0,2011,reg,0,0
3631,Jalil Anibaba,NSH,D,29,27,2508,2,1,11,4,0,0/0,2,0,0.07,18.2,0,1,0,0.04,27,14,1,0,0,36.36,2011,reg,0,0
3632,Stephen McCarthy,NE ,D,21,18,1428,2,1,12,4,1,0/0,1,1,0.13,16.7,0,0,1,0.06,16,6,0,4,0,33.33,2011,reg,0,0
3633,Diego Fagundez,NE,M,6,3,314,2,1,12,4,0,0/0,2,0,0.57,16.7,0,0,1,0.29,4,3,2,0,0,33.33,2011,reg,0,0
3634,Jeff Cunningham,CLB,F,21,4,591,2,1,13,3,1,1/1,0,2,0.3,15.4,0,1,0,0.15,3,8,13,0,0,23.08,2011,reg,1,1
3635,Monsef Zerka,NE ,F,7,7,511,2,1,14,5,0,0/0,0,2,0.35,14.3,1,1,0,0.18,4,12,0,0,0,35.71,2011,reg,0,0
3636,Freddy Adu,PHI,F,11,6,609,2,1,15,3,1,0/0,1,1,0.3,13.3,0,0,1,0.15,8,14,1,2,0,20.0,2011,reg,0,0
3637,Omar Gonzalez,TOR,D,29,29,2599,2,1,18,6,1,0/0,1,1,0.07,11.1,0,0,1,0.03,16,21,0,3,0,33.33,2011,reg,0,0
3638,Jámison Olave,RSL,D,24,24,2128,2,1,20,7,0,0/0,1,1,0.08,10.0,0,1,0,0.04,30,17,3,3,1,35.0,2011,reg,0,0
3639,Adam Moffat,HOU,M,17,12,1203,2,1,21,8,0,0/0,2,0,0.15,9.5,0,0,1,0.07,13,11,0,4,1,38.1,2011,reg,0,0
3640,Mehdi Ballouchy,NY ,M,29,17,1519,2,1,23,7,0,0/0,1,1,0.12,8.7,0,0,1,0.06,33,24,5,4,0,30.43,2011,reg,0,0
3641,Andy Williams,RSL,M,31,20,1970,2,1,38,13,1,0/0,2,0,0.09,5.3,0,0,1,0.05,33,45,1,2,0,34.21,2011,reg,0,0
3642,Will Johnson,RSL,D,25,22,2059,2,1,39,15,1,0/0,2,0,0.09,5.1,0,1,0,0.04,20,29,2,6,1,38.46,2011,reg,0,0
3643,Scott Palguta,COL,D,9,5,550,2,0,3,2,2,0/0,1,1,0.33,66.7,0,0,0,0.0,5,1,0,1,0,66.67,2011,reg,0,0
3644,Sammy Ochoa,SEA,F,4,0,100,2,0,6,2,0,0/0,1,1,1.8,33.3,0,0,0,0.0,0,5,0,0,0,33.33,2011,reg,0,0
3645,Ryan Guy,NE ,M,11,6,610,2,0,8,6,0,0/0,0,2,0.3,25.0,0,0,0,0.0,5,6,2,1,0,75.0,2011,reg,0,0
3646,Brandon McDonald,DC ,D,29,26,2294,2,0,10,3,0,0/0,1,1,0.08,20.0,0,0,0,0.0,29,13,1,6,1,30.0,2011,reg,0,0
3647,Peri Marosevic,DAL,F,7,4,410,2,0,12,5,0,0/0,0,2,0.44,16.7,0,0,0,0.0,3,3,3,0,0,41.67,2011,reg,0,0
3648,Chris Schuler,RSL,D,20,16,1638,2,0,13,2,2,0/0,1,1,0.11,15.4,0,0,0,0.0,16,13,0,2,0,15.38,2011,reg,0,0
3649,Javier Martina,TOR,F,23,15,1389,2,0,15,9,1,0/0,2,0,0.13,13.3,0,0,0,0.0,13,9,4,3,0,60.0,2011,reg,0,0
3650,Cristian Nazarit,CHI,F,12,6,624,2,0,20,5,1,0/0,0,2,0.29,10.0,0,0,0,0.0,25,2,8,3,0,25.0,2011,reg,0,0
3651,Luis Gil,RSL,M,25,14,1288,2,0,21,7,0,0/0,1,1,0.14,9.5,0,0,0,0.0,16,11,4,0,0,33.33,2011,reg,0,0
3652,Patrick Nyarko,CHI,F-M,30,24,2266,1,9,33,7,1,0/0,1,0,0.04,3.0,2,1,8,0.36,30,60,9,2,0,21.21,2011,reg,0,0
3653,Pável Pardo,CHI,M,13,12,1047,1,5,6,3,0,0/0,1,0,0.09,16.7,1,4,1,0.43,9,6,0,0,1,50.0,2011,reg,0,0
3654,Andrew Jacobson,DAL,M,27,22,1850,1,5,32,11,0,0/0,0,1,0.05,3.1,2,2,3,0.24,33,17,0,4,0,34.38,2011,reg,0,0
3655,Zach Loyd,DAL,D,30,28,2416,1,4,8,1,1,0/0,1,0,0.04,12.5,2,2,2,0.15,37,44,2,4,0,12.5,2011,reg,0,0
3656,Pablo Mastroeni,COL,M,30,30,2517,1,4,12,1,0,0/0,0,1,0.04,8.3,1,2,2,0.14,28,39,1,6,0,8.33,2011,reg,0,0
3657,Santino Quaranta,DC ,M-F,21,10,1091,1,4,23,5,0,0/0,0,1,0.08,4.3,0,2,2,0.33,22,15,2,2,1,21.74,2011,reg,0,0
3658,Nizar Khalfan,VAN,M,22,9,1066,1,4,33,9,0,0/0,1,0,0.08,3.0,0,3,1,0.34,9,2,2,1,0,27.27,2011,reg,0,0
3659,Terry Dunfield,TOR,M,18,13,1191,1,3,11,2,0,0/1,1,0,0.08,9.1,0,2,1,0.23,13,10,0,4,0,18.18,2011,reg,0,1
3660,Michael Lahoud,CHV,M,23,17,1341,1,3,12,3,0,0/0,1,0,0.07,8.3,0,2,1,0.2,19,13,1,4,0,25.0,2011,reg,0,0
3661,Rafael Baca,SJ ,M,15,11,1046,1,3,12,4,0,0/0,1,0,0.09,8.3,1,1,2,0.26,12,10,2,2,0,33.33,2011,reg,0,0
3662,Kyle Nakazawa,PHI,M,22,14,1208,1,3,15,4,1,0/0,0,1,0.07,6.7,0,1,2,0.22,24,14,0,1,0,26.67,2011,reg,0,0
3663,Sheanon Williams,PHI,D-M,32,32,2828,1,3,20,7,0,0/0,0,1,0.03,5.0,0,2,1,0.1,37,42,1,4,1,35.0,2011,reg,0,0
3664,Roger Espinoza,SKC,M,24,24,1979,1,3,20,5,1,0/0,1,0,0.05,5.0,0,1,2,0.14,44,44,0,3,1,25.0,2011,reg,0,0
3665,Joey Gjertsen,SJ ,M,18,13,977,1,3,21,6,0,0/0,1,0,0.09,4.8,0,1,2,0.28,7,11,1,0,0,28.57,2011,reg,0,0
3666,Shea Salinas,SJ,M,26,18,1695,1,3,22,3,1,0/0,1,0,0.05,4.5,1,1,2,0.16,12,15,3,0,1,13.64,2011,reg,0,0
3667,Miguel López,LA ,M,24,14,1165,1,3,30,8,1,0/0,0,1,0.08,3.3,1,1,2,0.23,19,22,10,2,0,26.67,2011,reg,0,0
3668,Gabriel Farfan,CHV,M,22,18,1609,1,2,2,1,0,0/0,0,1,0.06,50.0,1,1,1,0.11,27,25,0,1,0,50.0,2011,reg,0,0
3669,Hunter Freeman,HOU,D,23,22,1909,1,2,4,1,1,0/0,1,0,0.05,25.0,0,2,0,0.09,17,21,1,3,0,25.0,2011,reg,0,0
3670,Mariano Trujillo,CHV,D,12,0,451,1,2,5,2,1,0/0,0,1,0.2,20.0,0,1,1,0.4,10,3,0,2,0,40.0,2011,reg,0,0
